recipients,suppliers,year,quantity,weapon description,status
Burkina Faso,Albania,2011,12,mortar,Second hand
Nigeria,Algeria,1967,2,bomber aircraft,Second hand
Angola,Algeria,1980,4,transport aircraft,Second hand
Western Sahara,Algeria,2016,3,APC,Second hand
Congo,Angola,1979,1,transport aircraft,Second hand
Cote d'Ivoire,Angola,2002,2,tank,Second hand
Guinea-Bissau,Angola,1980,1,light transport aircraft,Second hand
Cote d'Ivoire,Angola,2002,2,IFV,Second hand
Honduras,Argentina,1980,60,mortar,New
Paraguay,Argentina,1982,6,tank,Second hand
Uruguay,Argentina,1993,1,light transport aircraft,New
Uruguay,Argentina,1979,3,light transport aircraft,Second hand
Uruguay,Argentina,1990,1,light transport aircraft,New
Sri Lanka,Argentina,1992,4,ground attack aircraft,New
Paraguay,Argentina,1972,1,landing ship,Second hand but modernized
Paraguay,Argentina,1962,3,transport aircraft,Second hand
Paraguay,Argentina,2007,20,APC,Second hand
Paraguay,Argentina,1980,3,tank,Second hand
Colombia,Argentina,1989,3,ground attack aircraft,Second hand
Paraguay,Argentina,1970,1,light transport aircraft,Second hand
Uruguay,Argentina,2002,1,ground attack aircraft,Second hand
Denmark,Argentina,1988,3,aircraft engine,Second hand
Paraguay,Argentina,1966,1,light transport aircraft,Second hand
Uruguay,Argentina,2000,1,ground attack aircraft,Second hand
Denmark,Argentina,1987,1,ASW helicopter,Second hand
Paraguay,Argentina,1964,3,OPV,Second hand
Uruguay,Argentina,1969,2,trainer aircraft,Second hand
Bolivia,Argentina,2006,37,APC,Second hand
Paraguay,Argentina,1979,1,transport aircraft,Second hand
Paraguay,Argentina,1975,10,trainer aircraft,Second hand
Uruguay,Argentina,1979,9,trainer/combat aircraft,Second hand
Ecuador,Argentina,1995,18,towed gun,Second hand but modernized
Uruguay,Argentina,1980,6,ground attack aircraft,New
Sudan,Armenia,2005,1,transport aircraft,Second hand
Israel,Aruba,1996,1,transport aircraft,Second hand
Micronesia,Australia,2014,2,patrol craft,New
New Zealand,Australia,2014,1,patrol craft,New
Indonesia,Australia,1980,6,maritime patrol aircraft,New
New Zealand,Australia,1952,4,corvette/minesweeper,Second hand
Netherlands,Australia,2020,6,APC,New
Ukraine,Australia,2022,6,towed gun,Second hand
Kiribati,Australia,2014,1,patrol craft,New
Vanuatu,Australia,2014,1,patrol craft,New
Indonesia,Australia,2019,20,APC turret,New
UAE,Australia,2019,,IFV turret,New
Chile,Australia,2020,16,SAM,Second hand
Malaysia,Australia,1969,10,fighter aircraft,Second hand but modernized
Jamaica,Australia,2020,6,APC,New
United States,Australia,2009,15,transport ship,New
Ghana,Australia,2004,2,light aircraft,New
United States,Australia,2003,7,light transport aircraft,New
Lesotho,Australia,2003,1,light transport aircraft,New
