location,party_a,party_b,year,latitude,longitude
Bolivia,Government of Bolivia,Popular Revolutionary Movement,1946,-16.2902,-63.5887
Bolivia,Government of Bolivia,MNR,1949,-16.2902,-63.5887
Bolivia,Government of Bolivia,MNR,1952,-16.2902,-63.5887
Bolivia,Government of Bolivia,ELN,1967,-16.2902,-63.5887
Cambodia (Kampuchea),Government of France,Khmer Issarak,1946,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1947,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1948,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1949,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1950,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1951,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1952,12.5657,104.991
Cambodia (Kampuchea),Government of France,Khmer Issarak,1953,12.5657,104.991
China,Government of China,PLA,1946,35.8617,104.1954
China,Government of China,PLA,1947,35.8617,104.1954
China,Government of China,PLA,1948,35.8617,104.1954
China,Government of China,PLA,1949,35.8617,104.1954
Greece,Government of Greece,DSE,1946,39.0742,21.8243
Greece,Government of Greece,DSE,1947,39.0742,21.8243
Greece,Government of Greece,DSE,1948,39.0742,21.8243
Greece,Government of Greece,DSE,1949,39.0742,21.8243
Indonesia,Government of Netherlands,Indonesian People's Army,1946,-0.7893,113.9213
Indonesia,Government of Netherlands,Indonesian People's Army,1947,-0.7893,113.9213
Indonesia,Government of Netherlands,Indonesian People's Army,1948,-0.7893,113.9213
Indonesia,Government of Netherlands,Indonesian People's Army,1949,-0.7893,113.9213
Iran,Government of Iran,KDPI,1946,32.4279,53.688
Iran,Government of Iran,KDPI,1966,32.4279,53.688
Iran,Government of Iran,KDPI,1967,32.4279,53.688
Iran,Government of Iran,KDPI,1968,32.4279,53.688
Iran,Government of Iran,KDPI,1979,32.4279,53.688
Iran,Government of Iran,KDPI,1980,32.4279,53.688
Iran,Government of Iran,KDPI,1981,32.4279,53.688
