location,party_a,party_b,year
Bolivia,Government of Bolivia,Popular Revolutionary Movement,1946
Bolivia,Government of Bolivia,MNR,1949
Bolivia,Government of Bolivia,MNR,1952
Bolivia,Government of Bolivia,ELN,1967
Cambodia (Kampuchea),Government of France,Khmer Issarak,1946
Cambodia (Kampuchea),Government of France,Khmer Issarak,1947
Cambodia (Kampuchea),Government of France,Khmer Issarak,1948
Cambodia (Kampuchea),Government of France,Khmer Issarak,1949
Cambodia (Kampuchea),Government of France,Khmer Issarak,1950
Cambodia (Kampuchea),Government of France,Khmer Issarak,1951
Cambodia (Kampuchea),Government of France,Khmer Issarak,1952
Cambodia (Kampuchea),Government of France,Khmer Issarak,1953
China,Government of China,PLA,1946
China,Government of China,PLA,1947
China,Government of China,PLA,1948
China,Government of China,PLA,1949
Greece,Government of Greece,DSE,1946
Greece,Government of Greece,DSE,1947
Greece,Government of Greece,DSE,1948
Greece,Government of Greece,DSE,1949
Indonesia,Government of Netherlands,Indonesian People's Army,1946
Indonesia,Government of Netherlands,Indonesian People's Army,1947
Indonesia,Government of Netherlands,Indonesian People's Army,1948
Indonesia,Government of Netherlands,Indonesian People's Army,1949
Iran,Government of Iran,KDPI,1946
Iran,Government of Iran,KDPI,1966
Iran,Government of Iran,KDPI,1967
Iran,Government of Iran,KDPI,1968
Iran,Government of Iran,KDPI,1979
Iran,Government of Iran,KDPI,1980
Iran,Government of Iran,KDPI,1981
Iran,Government of Iran,KDPI,1982
Iran,Government of Iran,KDPI,1983
Iran,Government of Iran,KDPI,1984
Iran,Government of Iran,KDPI,1985
Iran,Government of Iran,KDPI,1986
Iran,Government of Iran,KDPI,1987
Iran,Government of Iran,KDPI,1988
Iran,Government of Iran,KDPI,1990
Iran,Government of Iran,KDPI,1993
Iran,Government of Iran,KDPI,1996
Iran,Government of Iran,KDPI,2016
Iran,Government of Iran,KDPI,2018
Iran,Government of Iran,Republic of Azerbaijan,1946
Israel,Government of United Kingdom,IZL [Etzel],1946
Laos,Government of France,Lao Issara,1946
Laos,Government of France,Lao Issara,1947
Laos,Government of France,Lao Issara,1948
Laos,Government of France,Lao Issara,1949
Laos,Government of France,Lao Issara,1950
Laos,Government of France,Lao Issara,1951
Laos,Government of France,Lao Issara,1952
Laos,Government of France,Lao Issara,1953
Philippines,Government of Philippines,Huk,1946
Philippines,Government of Philippines,Huk,1947
Philippines,Government of Philippines,Huk,1948
Philippines,Government of Philippines,Huk,1949
Philippines,Government of Philippines,Huk,1950
Philippines,Government of Philippines,Huk,1951
Philippines,Government of Philippines,Huk,1952
Philippines,Government of Philippines,Huk,1953
Philippines,Government of Philippines,Huk,1954
Philippines,Government of Philippines,CPP,1969
Philippines,Government of Philippines,CPP,1970
Philippines,Government of Philippines,CPP,1971
Philippines,Government of Philippines,CPP,1972
