supplier,recipients,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States of America,Japan,,,8,222,280,412,770,1053,1205,668,780,328,217,205,1709,1154,303,584,525,493,624,764,659,623,867,1742,1614,894,1006,936,1007,1278,1384,1613,1928,1846,1763,1853,1880,2152,2552,2850,2450,1983,969,1138,815,792,1445,1205,448,393,392,411,353,347,404,536,966,956,610,272,211,293,307,331,324,424,740,958,928,1101,1505,1063
,Saudi Arabia,,,6,1,2,16,9,50,36,6,17,12,22,,,48,141,171,164,,,,83,160,378,384,392,768,842,504,636,1306,1867,1625,587,352,1438,1006,152,172,1019,397,885,2010,882,886,1405,1718,2206,1511,2,32,89,117,323,151,171,149,247,243,366,394,391,590,1391,1747,1748,3141,2631,2439,2016,1376,2034,942
,South Korea,152,256,266,255,158,351,461,295,269,257,200,180,132,218,283,631,565,130,357,499,93,235,367,253,450,637,552,1187,368,1344,889,863,652,439,483,647,754,721,1127,1589,974,779,677,598,690,1729,1624,888,1176,1199,934,461,262,591,871,619,1359,1204,1119,206,1235,1478,978,110,350,171,540,524,700,871,930,728,423,143
,Germany,,,,,,85,1185,1825,2012,735,887,869,1274,2640,2822,2776,2540,901,818,1006,1269,2224,557,1274,1634,1534,1301,969,622,28,104,190,256,248,258,108,293,320,382,641,678,648,650,524,383,189,164,60,543,75,73,99,42,22,88,51,9,9,255,311,255,35,25,43,46,5,5,3,2,7,65,114,212,150
,Israel,2,1,2,5,0,1,3,10,2,13,,15,46,4,96,149,134,123,600,1221,766,1283,848,2038,1059,1069,1917,1086,1304,636,1204,1641,861,480,276,299,1178,1080,582,24,81,1200,1335,716,755,360,76,42,1273,691,83,95,319,103,838,1086,1110,814,664,138,44,56,121,70,121,227,521,502,428,453,316,425,430,453
,Taiwan,,98,304,383,320,589,256,366,723,921,472,108,146,320,347,478,326,477,299,573,588,352,245,329,372,342,484,802,786,522,487,687,697,627,336,551,669,111,192,197,225,513,406,1127,852,1313,824,2966,2252,1706,547,342,291,111,314,645,503,13,11,0,35,137,411,582,1042,600,93,487,92,65,121,157,171,210
,Turkiye,117,136,333,165,118,353,286,537,487,606,580,312,241,542,681,369,239,374,296,545,244,506,607,724,1230,405,165,165,762,755,185,231,141,74,83,263,130,815,504,604,811,943,1668,1904,1355,696,613,1150,1608,1132,516,136,447,232,129,271,4,34,58,21,8,329,1008,357,1099,298,178,146,118,136,29,29,26,101
,United Kingdom,101,246,534,1604,532,191,141,77,548,538,26,23,25,126,87,105,161,1376,2246,2483,,111,155,162,162,161,75,130,145,154,440,768,706,247,592,287,149,110,127,93,73,829,1081,768,411,496,490,484,524,105,872,1259,380,438,170,18,164,386,485,282,312,212,399,348,197,371,213,755,137,245,597,875,768,494
,Australia,,21,100,,,10,60,75,190,213,52,38,198,18,34,588,376,426,113,337,179,233,21,632,810,55,38,132,789,142,341,315,61,487,552,504,660,565,721,629,299,94,327,448,253,37,45,35,18,303,205,86,105,163,113,100,344,554,290,626,1424,1021,485,109,247,841,892,941,898,997,1124,941,793,317
,Iran,4,6,0,1,11,28,41,36,160,107,83,107,127,139,141,171,402,127,644,1215,1120,1246,626,1363,2214,4180,4248,4618,2099,213,,,,,4,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,216,235,946,1584,807,1241,615,260,179,206,166,1571,1194,945,711,487,306,104,261,497,623,455,303,54,224,195,13,13,13,34,382,393,219,646,646,848,788,765,656,11,19,426,119,114,312,325,312,258,66,104,164,84,38,57,71,90,68,401,350,102,210,331,191,170,202,316,147,222,90,80,54,39,44,14
,Italy,129,200,769,1212,302,478,944,712,405,420,339,225,688,1067,1073,668,391,91,184,481,555,726,1350,767,786,738,438,245,417,452,322,102,173,233,203,131,139,126,128,75,94,140,126,166,143,90,149,267,6,,254,194,153,487,412,69,22,42,44,14,30,231,157,27,84,194,396,359,229,167,200,204,214,468
,Egypt,24,,,,0,,,,,,,,,,,,,,,,,,,,,,56,112,9,339,414,890,1384,985,384,457,1043,1145,309,204,429,835,922,1006,1791,1644,757,883,468,456,819,793,475,345,495,599,440,364,255,16,249,160,197,538,182,598,166,137,163,151,93,37,32,53
,Greece,95,398,307,85,79,107,92,354,447,286,263,92,340,108,537,497,204,244,72,235,102,306,166,191,428,681,971,440,504,314,245,207,41,96,86,56,87,31,107,762,766,349,1396,361,203,528,102,645,984,274,264,243,179,1530,828,102,20,253,5,929,151,19,7,,61,92,22,25,33,87,1,8,132,44
,Netherlands,58,331,300,508,424,192,432,317,203,57,207,186,281,552,810,703,165,102,129,242,312,306,322,21,40,67,217,452,543,538,505,657,888,973,848,554,426,592,361,667,268,282,199,79,138,36,99,61,254,240,122,158,202,45,95,51,231,21,9,61,35,8,91,185,,10,43,23,52,493,573,505,716,393
,Spain,1,,,20,75,177,245,252,125,280,181,80,46,4,32,344,211,250,110,152,210,399,561,758,468,617,485,98,198,241,166,229,167,87,66,103,854,970,1711,568,568,77,155,241,674,217,264,131,22,209,157,66,219,186,158,,81,26,23,52,7,20,96,44,20,20,2,5,16,20,30,30,71,166
,France,180,476,613,1100,1314,1351,1358,675,1078,745,492,287,105,162,1278,364,67,39,47,9,4,13,13,20,14,13,193,193,193,43,,,,4,,,,84,113,84,26,812,310,18,5,5,3,82,134,87,63,61,13,13,78,2,2,,2,,54,22,36,50,17,17,32,67,60,54,100,7,10,
,UAE,,,,,,,,,,,,,,,,,,,,,,0,1,5,7,56,,13,,,,100,,28,61,5,99,158,22,6,6,,,92,213,26,154,6,20,15,15,18,17,36,386,1269,1006,482,682,398,157,853,935,1051,522,794,642,464,877,495,195,326,376,498
,Belgium,35,301,799,859,402,299,346,291,287,143,64,107,170,547,619,473,43,,,8,,,179,188,20,,40,37,33,475,286,503,422,583,575,287,91,91,407,203,313,115,14,12,12,5,3,18,26,48,18,18,37,21,9,3,3,4,5,11,2,2,5,2,2,6,4,7,1,4,5,,0,86
,Singapore,,,,,,,,,,,,,,,,,,,,6,44,41,8,38,128,156,186,116,50,292,337,93,92,172,72,63,9,207,520,231,174,35,8,82,11,15,61,446,598,185,524,58,210,49,366,537,36,14,33,715,675,442,433,633,26,76,558,114,36,3,6,139,337,63
,Norway,18,69,368,412,19,160,202,145,150,117,151,89,18,221,60,55,362,390,274,524,59,,,13,1,49,23,25,17,32,237,377,388,383,204,33,19,140,155,315,112,10,10,24,10,38,108,102,73,79,75,62,8,9,5,3,69,76,113,105,91,73,65,19,1,112,112,330,361,333,340,464,692,183
,Kuwait,,,,,,,,,,,,,,,,,,,,,,56,,,2,4,16,321,327,7,19,,,137,64,76,31,6,,,5,41,896,664,18,394,1003,311,14,5,,,,19,,5,5,288,,1,37,36,22,52,681,277,126,56,62,7,,563,2010,26
,Pakistan,36,,0,,53,135,155,242,168,323,42,69,88,181,81,16,6,,11,,,,0,31,90,46,19,24,201,46,194,36,93,254,479,549,134,96,78,608,33,26,25,26,29,25,185,135,25,8,11,15,45,28,72,170,105,398,303,152,1034,269,276,137,204,107,20,23,22,,12,,,7
,Thailand,26,89,43,23,41,49,10,88,15,10,28,52,108,101,79,87,54,140,77,122,250,232,146,231,104,43,31,46,150,180,221,300,37,87,110,112,106,207,362,198,225,280,32,133,205,145,443,381,36,45,25,13,146,126,36,17,5,,,4,1,50,21,54,32,27,46,29,47,20,24,,38,28
,South Vietnam,,,,,0,63,68,24,19,20,43,111,165,131,80,143,182,253,285,568,654,975,2147,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,280,,160,280,,,353,288,174,481,951,369,1229,1373,887
,Denmark,17,36,326,390,30,57,68,60,70,203,139,335,45,101,317,282,11,14,45,3,28,14,13,,39,89,37,38,137,57,404,437,446,218,59,73,,83,88,84,3,15,21,9,50,25,36,64,65,35,27,33,12,8,143,22,8,87,3,0,,,32,28,28,42,103,53,33,,3,220,130,229
,India,,1,67,,52,189,3,3,,,,102,1,94,,,,,2,1,1,2,2,1,1,1,1,,,,,,,,,,,,43,,,,,,6,,,,,,,,,,,,80,84,,,54,214,139,983,1115,261,41,267,25,754,418,313,226,71
,Jordan,,,,,,,,,1,,,,,1,,15,72,70,28,121,119,49,55,35,54,323,325,464,593,279,358,148,221,98,231,176,,11,5,8,16,,,1,5,19,75,77,248,5,26,21,15,102,36,4,7,168,31,13,6,23,37,39,54,56,84,132,73,144,4,22,23,5
,Morocco,,,,,,,,,,,,,22,,15,46,137,89,5,,,1,,,108,93,100,253,162,97,71,424,114,147,,,18,2,36,56,28,43,,86,117,,34,137,,8,7,,,,,,20,,,3,35,447,431,45,9,47,277,435,333,48,7,6,349,324
,Brazil,,259,,28,7,53,14,110,134,125,63,191,45,84,25,147,54,218,140,34,73,108,319,363,142,442,189,14,111,15,17,12,2,2,2,23,34,101,47,336,39,24,7,,37,,45,131,,11,22,111,70,8,20,18,19,19,33,0,16,77,127,69,16,37,31,9,55,39,17,26,6,22
,NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,750,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,8,70,105,,,
,Iraq,,,,,,,27,4,4,,,,,,,,,,,,,,,,,,,,,,,,,27,,9,9,36,150,,,,,,,,,,,,,,,,8,50,62,161,278,333,381,432,372,266,247,789,882,488,15,19,3,,11,
,Switzerland,,,1,,,,0,2,,,,,,17,78,83,83,34,46,20,62,84,59,34,9,66,66,,213,213,268,285,130,247,218,155,,11,36,18,11,139,18,39,113,93,187,377,430,501,3,3,2,,18,,,2,1,2,29,16,5,2,1,1,61,1,,,,,15,15
,Sweden,,6,13,,,,,,10,9,14,8,11,63,63,67,44,93,96,91,49,45,81,75,75,103,75,114,135,100,92,205,44,122,47,32,61,75,73,75,42,31,15,17,26,59,52,69,150,65,69,33,26,26,26,58,52,24,8,2,,150,185,15,,,9,5,,,,115,318,65
,Portugal,10,17,120,284,280,140,64,90,90,6,13,28,1,27,32,27,60,69,69,5,17,98,,,6,6,,94,121,2,12,51,129,8,103,140,3,9,90,139,21,173,5,91,436,15,9,2,6,,2,18,,29,57,33,43,57,87,89,88,88,29,,0,,1,,,29,29,4,,7
,Argentina,80,445,38,4,5,0,39,14,66,26,96,178,32,14,4,4,60,124,91,32,159,244,309,131,68,133,155,99,135,95,75,36,4,28,10,10,,8,4,4,14,,27,,48,28,9,82,139,197,61,6,12,11,18,3,9,15,14,12,3,1,5,7,3,18,6,33,7,13,7,4,15,17
,Indonesia,0,0,0,6,0,1,,,55,,193,184,15,3,2,1,7,1,0,1,19,86,5,46,71,,82,51,83,55,312,85,184,122,24,11,22,0,53,68,188,2,,2,2,2,17,22,7,23,2,2,2,7,2,1,9,15,12,,,0,35,84,150,83,94,246,89,11,91,132,11,121
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,122,8,138,14,5,11,346,850,494,92,41,16,16,,1,4,,17,18,125,61,37,150,634
,Mexico,,7,,6,,,,,16,2,6,26,107,60,34,,22,15,,,82,44,9,151,13,25,8,23,51,1,,70,246,3,,,5,111,77,54,26,18,6,150,54,,41,280,8,28,124,143,59,7,90,8,29,,23,27,25,87,46,36,25,190,223,143,4,,20,,,
,Finland,,,,,,,,3,,,,,,,,,,,,,,,,,3,6,,,,,,,16,1,2,,,,1,,,,36,36,,150,344,391,536,761,467,,5,,,,,,9,9,13,2,,50,44,98,64,6,33,37,17,,,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,21,73,260,228,487,408,164,98,117,68,234,284,369,234,65,,
,Yugoslavia,,63,374,525,531,334,278,194,112,281,171,61,,,,,,,,,,,,,,3,3,,,,,,,52,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colombia,3,4,12,12,31,13,14,15,24,1,5,66,6,31,6,18,32,15,32,118,3,27,63,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,52,15,53,42,35,37,103,84,44,60,265,124,94,,4,27,122,16,147,64,80,77,104,34,55,12,30,3,22,17,42,49,2
