Company,Country,Arms Revenue 2022,Arms Revenue 2021,Arms Revenue 2020,Arms Revenue 2019,Arms Revenue 2018,Arms Revenue 2017,Arms Revenue 2016,Arms Revenue 2015,Arms Revenue 2014,Arms Revenue 2013,Arms Revenue 2012,Arms Revenue 2011,Arms Revenue 2010,Arms Revenue 2009,Arms Revenue 2008,Arms Revenue 2007,Arms Revenue 2006,Arms Revenue 2005,Arms Revenue 2004,Arms Revenue 2003
AAR,United States,0,0,0,0,0,0,0,0,0,830,840,930,0,0,0,0,0,0,0,0
ADI,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,440,420
AECOM,United States,0,0,0,3090,2770,2070,2120,2150,0,0,0,0,0,0,0,0,0,0,0,0
AECOM Technology,United States,0,0,0,0,0,0,0,0,3080,0,0,0,0,0,0,0,0,0,0,0
AM General,United States,0,0,0,0,0,0,0,0,0,0,0,1130,1900,3720,4040,2670,1700,1280,860,480
ARINC,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,550,540,0,530,0
ASC,Australia,0,0,0,0,0,0,0,0,920,880,950,830,0,0,0,0,0,0,0,0
ASELSAN,Turkey,2020,2160,2200,2170,1740,1440,1200,1000,1130,1110,860,850,760,0,0,0,0,0,0,0
AVIC,China,20620,20110,16980,16710,16580,14970,14290,15090,0,0,0,0,0,0,0,0,0,0,0,0
Admiralty Shipyards,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0
Aerojet Rocketdyne,United States,0,1470,1330,1230,1220,1220,1180,1220,0,0,0,0,0,0,0,0,0,0,0,0
Aerokosmicheskoe Oborudovanie,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,440,490
Agility,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,1310,2490,2560,0,0,0,0,0
Airbus,Trans-European,12090,10850,11990,11290,11650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airbus Group,Trans-European,0,0,0,0,0,9980,12520,12860,14490,0,0,0,0,0,0,0,0,0,0,0
Alion Science & Technology,United States,0,0,0,0,0,0,0,0,0,0,0,0,770,740,640,660,0,0,0,0
Alliant Techsystems,United States,0,0,0,0,0,0,0,0,2340,1820,2330,2550,2780,2810,2680,2460,2350,2060,1740,1460
Almaz-Antey,Russia,0,0,6040,9420,9640,8570,6110,7380,5130,8170,5810,3990,3950,3250,4340,2780,1950,1590,1190,960
Alvis,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
Amentum,United States,6560,5020,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphenol,United States,1140,1200,1030,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anteon International,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,1130,920
Armor Holdings,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,1190,610,0
Atomic Weapons Establishment,United Kingdom,1780,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austal,Australia,980,940,920,1160,1140,1030,940,980,1240,1030,880,0,0,0,0,0,0,0,0,0
Avio,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,680,630,570,500,520,560,560
BAE Systems,United Kingdom,26900,27490,25170,23330,22590,22270,24140,27670,27520,26800,27180,29470,33090,31820,30750,29320,23790,21290,16710,15760
BWX Technologies,United States,1700,1650,1670,1480,1070,1300,1250,1150,0,0,0,0,0,0,0,0,0,0,0,0
Babcock International Group,United Kingdom,3680,3100,2850,3240,3180,3230,3380,3400,3560,3270,3180,3220,2770,2010,2020,1920,760,610,700,520
Ball,United States,930,1090,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baykar,Turkey,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bechtel,United States,2740,2470,2170,2670,2000,3150,2820,2650,2480,2470,2340,2330,2180,1920,1460,1170,1000,850,800,750
Bharat Electronics,India,1920,1830,1460,1470,1170,1310,1160,960,950,900,970,920,1000,920,900,840,660,560,620,460
Boeing,United States,29300,33420,32740,32450,32120,29450,29510,27960,28300,30700,30600,30300,30000,31900,30000,30480,30690,29590,28980,25870
Booz Allen Hamilton,United States,5900,5600,5500,5140,4680,4320,4000,3900,3900,4100,3200,3100,3000,2640,2200,1820,1450,1370,1060,940
Bumar Group,Poland,0,0,0,0,0,0,0,0,0,0,820,830,880,770,1100,870,820,660,0,0
CACI International,United States,4820,4330,4190,4000,3490,2980,2830,2440,2730,3030,3180,3380,3230,2790,2400,2120,1660,1510,1390,950
CAE,Canada,1420,1280,910,1000,1010,0,0,0,0,0,840,900,840,710,680,570,0,0,460,450
CASC,China,19560,19100,16880,14480,15010,13700,12810,12330,0,0,0,0,0,0,0,0,0,0,0,0
CASIC,China,11770,12870,11870,11850,11770,10530,9490,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA,France,2790,2940,2520,2230,2300,2160,2020,1950,2290,2270,2190,2300,2200,2160,2010,1760,1590,1710,1720,1540
CETC,China,15080,14990,14610,15090,13860,12170,10970,12000,0,0,0,0,0,0,0,0,0,0,0,0
CNH Industrial,Trans-European,0,0,0,0,0,0,0,0,820,820,0,0,0,0,0,0,0,0,0,0
CNNC,China,1940,1810,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSGC,China,6460,5910,5360,4610,4210,4630,8080,9080,0,0,0,0,0,0,0,0,0,0,0,0
CSIC,China,0,0,0,6190,6920,6170,6170,5320,0,0,0,0,0,0,0,0,0,0,0,0
CSRA,United States,0,0,0,0,0,2580,2250,2070,0,0,0,0,0,0,0,0,0,0,0,0
CSSC,China,10440,10870,9370,3310,3460,4520,5970,6090,0,0,0,0,0,0,0,0,0,0,0,0
Ceradyne,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,510,0,0,0
Chemring Group,United Kingdom,0,0,0,0,0,0,0,0,0,920,1120,1080,890,750,620,0,0,0,0,0
