Company (c) ,Country (d),Arms Revenue  (2022),Total Revenue (2022),Arms Revenue as a % of total revenue (2022),Year,Country,Arms Revenue  (2021),Total Revenue (2021),Arms Revenue as a % of total revenue (2021),Country ,Arms Revenue  (2020),Total Revenue (2020),Arms Revenue as a % of total revenue (2020),Arms Revenue  (2019),Total Revenue (2019),Arms Revenue  as a % of total revenue (2019),Arms Revenue (2018),Total Revenue (2018),Arms Revenue  as a % of total revenue (2018),Arms Revenue (2017),Total Revenue (2017),Arms Revenue  as a % of total revenue (2017),Arms Revenue (2016),Total Revenue (2016),Arms Revenue as a % of total revenue (2016),Arms Revenue (2015),Total Revenue (2015),Arms Revenue as a % of total revenue (2015), Country ,Arms Revenue (2014),Total Revenue (2014),Arms Revenue as a % of total revenue (2014),Arms Revenue  (2013),Total Revenue (2013),Arms Revenue as a % of total revenue (2013),Arms Revenue  (2012),Total Revenue (2012),Arms Revenue as a % of total revenue (2012),Arms Revenue  (2011),Total Revenue (2011),Arms Revenue as a % of total revenue (2011),Arms Revenue  (2010),Total Revenue (2010),Arms Revenue as a % of total revenue (2010),Arms Revenue  (2009),Total Revenue (2009),Arms Revenue as a % of total revenue (2009),Arms Revenue  (2008),Total Revenue (2008),Arms Revenue as a % of total revenue (2008),Arms Revenue  (2007),Total Revenue (2007),Arms Revenue as a % of total revenue (2007),Arms Revenue  (2006),Total Revenue (2006),Arms Revenue as a % of total revenue (2006),Arms Revenue  (2005),Total Revenue (2005),Arms Revenue as a % of total revenue (2005),Arms Revenue  (2004),Total Revenue (2004),Arms Revenue as a % of total revenue (2004),Arms Revenue  (2003),Total Revenue (2003),Arms Revenue as a % of total revenue (2003),Arms Revenue  (2002),Arms Revenue 2002 (constant 2022 prices) note (d),Arms Revenue as a % of total revenue (2002)
Lockheed Martin Corp.,United States,59390,65984,0.900066683,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raytheon Technologies,United States,39570,67074,0.589945433,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northrop Grumman Corp.,United States,32300,36602,0.882465439,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boeing,United States,29300,66608,0.439887101,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Dynamics Corp.,United States,28320,39407,0.718654046,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE Systems,United Kingdom,26900,27712,0.970698614,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORINCO,China,22060,82537,0.267274071,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVIC,China,20620,82499,0.249942424,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASC,China,19560,44458,0.43996581,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rostec,Russia,16810,30295,0.554877042,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CETC,China,15080,55837,0.270071816,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3Harris Technologies,United States,12630,17062,0.740241472,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo,Italy,12470,15025,0.829950083,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus,Trans-European,12090,61805,0.195615241,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASIC,China,11770,37364,0.3150091,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSSC,China,10440,51443,0.202943063,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thales,France,9420,18479,0.509767845,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HII,United States,8750,10676,0.819595354,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leidos,United States,8240,14287,0.576748093,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amentum,United States,6560,8750,0.749714286,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSGC,China,6460,42507,0.151974969,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booz Allen Hamilton,United States,5900,9259,0.637217842,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dassault Aviation Group,France,5070,7288,0.695664105,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elbit Systems,Israel,4960,5512,0.899854862,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolls-Royce,United Kingdom,4930,15647,0.315076372,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACI International,United States,4820,6703,0.719081009,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell International,United States,4630,35466,0.130547567,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheinmetall,Germany,4550,6742,0.674873925,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naval Group,France,4530,4578,0.989515072,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peraton,United States,4410,7000,0.63,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Electric,United States,4410,76555,0.057605643,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBDA,Trans-European,4380,4428,0.989159892,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBR,United States,4270,6564,0.650517977,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safran,France,4200,20021,0.209779731,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Aerospace Industries,Israel,4100,4973,0.824452041,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Shipbuilding Corp.,Russia,3950,5011,0.788265815,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandia National Laboratories,United States,3920,4409,0.889090497,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science Applications International Corp.,United States,3780,7704,0.490654206,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saab,Sweden,3700,4154,0.890707752,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babcock International Group,United Kingdom,3680,5473,0.672391741,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Aeronautics,India,3460,3643,0.949766676,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael,Israel,3380,3450,0.979710145,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi Heavy Industries,Japan,3250,32000,0.1015625,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNDS,Trans-European,3200,3366,0.950683304,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textron,United States,2910,12869,0.226124796,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fincantieri,Italy,2820,7825,0.360383387,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEA,France,2790,6135,0.454767726,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwha Aerospace,South Korea,2780,5561,0.499910088,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bechtel Corp.,United States,2740,. .,. .,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCSIST,Taiwan,2590,2859,0.905911158,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2X,United States,2520,2891,0.871670702,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransDigm Group,United States,2330,5429,0.429176644,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker-Hannifin Corp.,United States,2270,19065,0.119066352,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManTech International Corp.,United States,2190,2690,0.814126394,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST Engineering,Singapore,2180,6554,0.3326213,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Atomics,United States,2140,. .,. .,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oshkosh Corp.,United States,2140,8282,0.258391693,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobs Engineering Group,United States,2090,14923,0.140052268,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teledyne Technologies,United States,2020,5459,0.370031141,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASELSAN,Türkiye,2020,2131,0.947911779,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNC,China,1940,39046,0.049684987,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThyssenKrupp,Germany,1930,43270,0.044603651,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Electronics,India,1920,2208,0.869565217,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serco Group,United Kingdom,1850,5883,0.314465409,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Heavy Industries,Japan,1830,13139,0.139280006,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic Weapons Establishment,United Kingdom,1780,1821,0.977484898,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIG Nex1,South Korea,1720,1720,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWX Technologies,United States,1700,2234,0.760966876,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hensoldt,Germany,1660,1795,0.924791086,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QinetiQ,United Kingdom,1620,1949,0.831195485,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGZ,Poland,1600,1775,0.901408451,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Nevada Corp.,United States,1560,1656,0.942028986,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea Aerospace Industries,South Korea,1550,2147,0.721937587,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parsons Corp.,United States,1540,4195,0.367103695,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eaton,United States,1520,20752,0.073245952,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baykar,Türkiye,1420,1500,0.946666667,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAE,Canada,1420,3230,0.439628483,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
