Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 2 Nov 2024 10:23:14 PM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1950-2023,Percentage,Sum total years,Percentage of total
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Afghanistan,,,,,,4,7,89,254,405,39,55,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,281,365,354,384,299,241,373,158,288,567,1005,1976,1690,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,633,525,261,332,139,171,236,314,383,234,65,,,15905,0.8%,15905,0.8%
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9,,10,,,,,2,,2,,,0 ,3,,,7,,89,0.0%,89,0.0%
Albania,20,10,21,35,37,147,113,54,59,141,69,74,42,12,8,140,74,163,265,297,250,332,134,106,137,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,2,2,5,1,,,,2894,0.1%,2894,0.1%
Algeria,,,,,,,,,,,,7,63,88,179,352,437,524,57,79,14,14,180,110,13,56,130,1052,1267,1823,1337,1381,1352,697,656,368,146,367,319,455,733,1035,23,22,197,311,83,37,98,370,405,539,252,204,251,159,340,507,1510,1063,831,1133,662,361,716,896,2914,1136,1287,167,600,162,313,355,33193,1.6%,33193,1.6%
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0.0%,63,0.0%
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,244,192,105,146,111,153,243,381,579,483,535,710,1192,971,152,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,51,154,111,272,169,51,,46,15,8679,0.4%,8679,0.4%
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,1,0.0%,1,0.0%
Argentina,85,445,38,4,5,0 ,39,14,70,161,111,205,48,29,19,7,93,143,430,230,257,363,402,248,450,268,499,204,434,451,446,833,406,1309,724,485,219,217,71,6,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,21,17,45,17,49,7,77,45,22,12300,0.6%,12300,0.6%
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,32,29,7,983,0.0%,983,0.0%
Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,378,537,920,707,770,450,818,230,313,63,716,898,108,91,278,1029,192,404,449,129,632,622,511,815,592,743,692,352,213,364,448,262,64,597,35,542,678,326,1217,641,781,471,468,741,675,430,807,1558,1584,788,220,857,1470,1029,1664,1582,1184,1650,1215,827,362,44917,2.2%,44917,2.2%
Austria,,,,2,,11,108,149,11,24,16,27,56,201,74,78,61,47,1,12,99,123,93,22,22,6,12,,8,72,195,73,97,145,13,28,19,7,117,84,5,6,5,8,38,22,9,190,247,48,25,15,81,41,56,26,5,269,190,286,7,8,8,6,2,1,13,10,6,17,13,34,4,8,3820,0.2%,3820,0.2%
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,59,161,213,33,145,162,568,388,391,631,338,276,291,369,44,51,,19,9,4317,0.2%,4317,0.2%
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,,163,0.0%,163,0.0%
Bahrain,,,,,,,,,,,,,,,,,,,,,,0 ,7,0 ,1,,,2,12,10,22,40,55,10,129,55,133,249,135,71,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,98,4,24,69,1,17,26,27,72,21,27,183,377,332,3586,0.2%,3586,0.2%
Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,72,128,109,59,81,4,1,242,302,188,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,80,12,,36,117,184,649,207,640,451,333,158,732,54,54,322,78,7120,0.3%,7120,0.3%
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,40,0.0%,40,0.0%
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,225,121,1802,0.1%,1802,0.1%
