Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1950-2023
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,469,447,1016,588,1232,487,959,651,931,1787,2099,1460,681,921,1749,1307,1425,2276,2496,3830,3720,1582,1797,1691,1318,1199,1205,1091,1236,1077,405,43730
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008,1011,72,497,1239,734,153,1445,2205,2463,2509,2073,2883,3066,2445,1360,1483,1093,683,761,627,661,561,766,772,1230,1686,1095,547,467,580,372,38542
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,238,46,,,83,243,379,101,154,246,92,202,503,1491,1003,686,988,650,304,313,545,1592,1005,1136,,447,75,170,75,12933
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,172,102,175,146,2,91,54,2,299,164,16,2,169,55,160,979,762,311,1070,751,719,465,333,138,10,73,73,10,7572
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,16,11,5,150,,51,,,60,60,60,154,60,75,,8,369,437,73,29,110,5,176,1254,848,688,420,,,,5129
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,557,79,41,288,118,255,257,345,306,97,90,15,15,368,283,15,50,35,29,11,4,4,4,413,3,3,3,2,,,21,3927
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,356,740,698,260,60,270,519,881,79,,,,,,,,,,3914
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,68,121,136,22,,31,40,29,72,8,20,51,47,77,56,29,443,199,163,267,220,266,85,188,87,2889
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,20,23,9,8,25,25,5,15,26,,62,85,353,410,496,496,2,16,3,37,199,36,80,7,,,2448
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,29,102,,73,87,,51,334,474,353,173,427,126,,,,,2300
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,18,2,101,485,264,310,555,214,7,109,53,,,,,,2185
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,138,196,202,36,99,133,68,44,,,,,,,,1,149,324,126,126,126,,,,,40,80,80,,,,2083
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,36,,,,86,133,,120,137,151,127,14,14,47,382,144,55,28,12,,69,72,31,64,,111,110,1992
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,15,,1,46,16,,,,393,394,394,0,,2,12,,,,,,,,,,,1809
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,,116,,,,,75,75,75,66,89,117,158,141,333,13,69,225,121,1755
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,,,52,99,35,51,,,,,51,,,,,,,,,,7,,,,,,,,,,1172
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,53,14,524,18,225,241,,,,,90,,,,,,,,,,,,,,1168
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,230,29,,,,44,165,187,63,19,352,54,,,,,,,,,,1152
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,369,299,136,47,20,22,63,,,,,,,,,,,,,,1,,,,,1095
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,91,31,86,278,93,23,22,23,35,70,72,48,,,53,53,24,0,,,,,,1010
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,91,74,128,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,1005
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5,58,,,,140,119,39,14,,,,21,22,,,,28,22,50,,78,155,96,,36,,,,,910
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,57,,3,7,97,,58,77,18,,,,,,,,,,,,,29,100,63,188,125,,,,,869
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,68,,,,,,,,68,,,,,46,46,2,,16,,,110,18,,228,,,29,,860
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,83,64,,,174,230,,,,,,58,,,,,,,,,69,,,,,833
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,87,,,,,,106,,87,,,7,18,7,26,29,29,29,29,37,43,37,79,60,37,7,,26,815
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,151,62,,113,,174,65,,,,22,,,,43,22,6,,,,,,,,,,,,691
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18,,,,,14,,439,148,20,,,,,,,,,48,,689
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,15,,,,29,73,83,87,87,218,,,,,,,,,,625
Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,46,102,,,,,,,,,,,,,16,16,,,,,,,,,280,32,31,,,554
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,24,193,,87,65,,2,,,,36,,,,7,,22,,,,,,,,,,,,494
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,131,14,29,29,,,10,32,86,102,,,,,,,,,,,,,,,,,,492
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,134,73,96,,,,,,,,,,,,,36,65,,,,48,,,,,,,,,459
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,200,29,,,,,,29,,1,,,,,6,6,,,,,,,,,,,,,,445
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,23,33,11,2,92,,7,,,,,,,,12,,62,,,58,94,22,,,,,,,,444
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,43,,212,16,,57,,,70,3,,,,,,,,,,,,,,,,,,,406
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,28,136,56,13,17,51,36,,,,,2,,,374
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,1,7,1,1,1,,,,,,,,,,,,,,,,15,65,,71,138,60,,,366
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,19,145,4,,,23,23,23,8,4,4,,,,20,,22,15,,,,,,,,,,,,,358
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,60,80,40,44,,,,,,56,56,,,,,344
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,2,29,,,,,,,,,,,58,90,,24,24,12,15,7,,,295
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,11,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,294
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,,17,,33,,,282
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,176,26,,,,,,,,,,,,,,,,,,261
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,2,22,2,15,33,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,232
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,,,,,,,232
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,,,,5,6,49,46,52,,,206
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,22,4,7,,,0,,4,,,,,,15,,,,,,,66,18,17,3,,,198
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,5,5,,197
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,44,,,,28,18,,63,,,,,,,,,,,,22,,,,,,,,,,,196
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,77,18,36,,35,6,5,,,,,,,,184
