,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aircraft,5299,6723,11667,15568,12818,12562,14083,13715,15963,10377,7381,7487,8104,11198,14719,13013,11850,12328,12626,14251,11893,17154,17020,17357,18313,19043,17314,17101,17983,17495,19712,20999,21354,20356,18340,17627,18086,18043,15726,17305,15470,12879,11969,10518,7400,9226,8725,14283,14560,11119,8295,9280,8135,9163,10594,8102,9500,11685,9577,9935,11874,15351,11702,10721,11557,12916,12414,14166,11760,13956,11369,13314,15078,10191
Armoured vehicles,1028,993,2419,3980,2881,2365,4053,3890,3187,3211,3339,3014,3147,2982,3141,3669,3227,3567,3818,4708,5245,5609,6009,6167,6736,5272,4478,7014,8148,6658,5434,6747,7160,6991,7220,5788,5922,5472,4638,3606,3467,3756,3360,5365,4036,3727,3822,3609,2800,3022,2108,1780,2110,2083,2038,2040,3111,3691,3287,3379,3888,3539,3655,2852,2956,2710,3882,3147,2940,2389,2271,2283,3994,3126
Ships,914,2460,859,1647,2197,2821,3033,3311,2706,3415,3023,2062,2166,1401,2458,2184,3445,3974,3485,3192,2791,3226,3379,4117,3575,3769,3741,3998,3994,3804,5729,6301,5392,5177,5514,3389,4743,4281,4527,3304,2896,3026,3021,3161,5075,3795,4666,4953,3346,4528,3338,2849,2362,2884,2757,5050,4939,4065,3290,3565,2427,3138,4005,4116,4424,3918,4422,5093,3488,2017,3076,3853,3935,5483
Missiles,,,,,,57,55,49,704,1101,763,868,1159,1318,1616,1622,1580,1396,2067,2048,1352,1494,2124,2484,2822,2891,2932,3334,3796,3301,3812,4266,4505,3967,3833,4291,4648,4858,4724,4301,4001,3548,2181,3255,2819,2780,2868,2760,3817,2946,2485,2053,2349,1983,2277,2393,3029,2966,3203,3100,2753,3048,3284,3938,3111,3088,4046,4105,4337,3839,3330,3278,5360,5329
Air defence systems,,,42,42,56,197,358,480,605,1300,1523,1229,1338,1350,2221,2264,1868,1383,1344,2031,2032,2893,2915,3716,3166,3531,4497,6405,6279,4502,4125,3420,3350,2834,2405,3071,2325,3206,3040,2772,1550,1377,548,895,686,621,724,754,773,951,826,733,703,510,516,883,935,910,1546,1456,1338,1298,1143,1588,1230,1872,2265,1596,1677,1218,567,705,1276,1395
Sensors,25,4,74,261,420,439,428,376,372,267,441,554,708,786,993,954,1072,1018,751,839,589,521,594,355,350,778,1003,782,799,995,1335,1606,1528,1899,1940,1589,1336,1483,1752,1608,1402,1473,1302,1244,1320,1267,1164,980,1167,1016,939,1120,1126,1118,1244,1216,1373,1415,1297,1083,1258,1471,1603,1785,1690,1799,1595,1098,1006,1095,800,1009,1598,1485
Engines,481,773,818,1155,1024,1085,1460,1337,1168,918,457,303,315,419,401,323,466,451,486,444,508,811,1047,792,773,823,736,699,788,699,726,805,816,746,690,624,670,549,687,797,696,637,558,630,607,612,640,540,510,560,542,513,517,657,852,723,616,818,968,924,1060,1098,1340,1223,1217,1299,1385,1369,1375,1587,1330,1073,1069,934
Artillery,383,623,734,819,636,842,1037,830,780,748,668,779,698,673,692,831,1312,1106,1361,1064,1010,1090,995,1060,872,1056,963,850,668,581,763,1114,1326,1593,1527,1607,1067,1203,1225,893,558,905,937,428,707,526,624,656,432,360,404,152,216,196,447,522,535,613,580,660,847,745,667,459,288,366,396,210,382,398,493,369,686,596
Naval weapons,1,12,,133,40,129,148,181,103,140,169,114,74,108,302,157,82,87,112,69,46,22,132,86,96,132,114,131,189,148,202,244,265,354,242,180,224,289,353,420,242,334,210,236,221,193,291,161,229,137,159,77,158,262,330,262,230,180,211,112,164,127,218,207,287,185,161,176,231,155,153,178,209,279
Other,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,20,6,6,6,,,24,109,89,56,25,69,87,38,57,32,22,48,59,155,146,100,130,187,255,228,155,315,321,185,137,196,199,124,146,199,237,234,328,283,296,236,163,200,119,142,134,514,319,281,332,287
